time,angle
0,16.066004581127
1,15.8757664991253
2,15.6419742383432
3,15.3711696849268
4,15.06859699895
5,14.7330337509214
6,14.3520349391646
7,13.9017924067522
8,13.3533684781381
9,12.6831375348088
10,11.8825650779741
11,10.9635780445729
12,9.95714809567427
13,8.90561675229466
14,7.85073460419043
15,6.82275959771249
16,5.83566643856432
17,4.89022505082774
18,3.98246462448785
19,3.11260115651589
20,2.28934570067585
21,1.52702896875368
22,0.838081202224943
23,0.225894564278244
24,-0.317996073404067
25,-0.811425395512025
26,-1.27586197703521
27,-1.73071311662618
28,-2.19009778486003
29,-2.66227501924977
30,-3.15065677050528
31,-3.6544431609051
32,-4.16818888206804
33,-4.68148078098022
34,-5.18042377260976
35,-5.65059824165158
36,-6.07990781732824
37,-6.46078101867123
38,-6.79349144500961
39,-7.09147061191741
40,-7.38562788017014
41,-7.72066809984808
42,-8.14117450682924
43,-8.67355946616062
44,-9.31420444217261
45,-10.0287946224493
46,-10.7617128868115
47,-11.4500465014408
48,-12.0366654679327
49,-12.4784587632875
50,-12.749021915665
51,-12.8383509261985
52,-12.7520007146093
53,-12.5110230681981
54,-12.1520587807445
55,-11.7257437822802
56,-11.2917887739248
57,-10.9099545134191
58,-10.6282123234545
59,-10.4710576367801
60,-10.4316358973117
61,-10.4716230370949
62,-10.5296044781328
63,-10.5357074534224
64,-10.427910702364
65,-10.1659316436097
66,-9.73820053669732
67,-9.16004947045813
68,-8.46366076907795
69,-7.68527801098863
70,-6.85459967567966
71,-5.98912931078685
72,-5.09307772967802
73,-4.15967357119201
74,-3.17573389190724
75,-2.12746895926013
76,-1.00597618802653
77,0.188684715799725
78,1.44484722473651
79,2.73848538231938
80,4.0353568238734
81,5.29711794117881
82,6.49080010197995
83,7.5990741025651
84,8.6260845258042
85,9.59459687413484
86,10.5332052113184
87,11.4593831732751
88,12.3675346665369
89,13.2291308242298
90,14.0049745802155
91,14.6620009717481
92,15.185119929204
93,15.5784289248114
94,15.8583055231807
95,16.0438871469515
96,16.1498214180945
97,16.1830272719938
98,16.143416429015
99,16.0279664614968
100,15.8369921029751
